table,description,column,type,nullable,key,default,foreign_key
architectures,"C4 architecture model (1 per project).",id,INTEGER,NO,PK,,
architectures,"C4 architecture model (1 per project).",title,varchar,NO,,,
architectures,"C4 architecture model (1 per project).",project_id,INTEGER,NO,FK,,projects.id
architectures,"C4 architecture model (1 per project).",description,TEXT,YES,,,
architectures,"C4 architecture model (1 per project).",elements,TEXT,YES,,,
architectures,"C4 architecture model (1 per project).",relationships,TEXT,YES,,,
architectures,"C4 architecture model (1 per project).",status_id,INTEGER,YES,FK,,statuses.id
architectures,"C4 architecture model (1 per project).",created_at,datetime,YES,,,
architectures,"C4 architecture model (1 per project).",updated_at,datetime,YES,,,
architectures,"C4 architecture model (1 per project).",created_by,INTEGER,YES,FK,,users.id
architectures,"C4 architecture model (1 per project).",updated_by,INTEGER,YES,FK,,users.id
architectures,"C4 architecture model (1 per project).",deleted_by,INTEGER,YES,FK,,users.id
architectures,"C4 architecture model (1 per project).",deleted_at,datetime,YES,,,
architectures,"C4 architecture model (1 per project).",layout,TEXT,YES,,,
assumptions,"Beliefs treated as true until proven.",id,INTEGER,NO,PK,,
assumptions,"Beliefs treated as true until proven.",title,varchar,NO,,,
assumptions,"Beliefs treated as true until proven.",project_id,INTEGER,NO,FK,,projects.id
assumptions,"Beliefs treated as true until proven.",description,TEXT,YES,,,
assumptions,"Beliefs treated as true until proven.",status,varchar,NO,,'open',
assumptions,"Beliefs treated as true until proven.",source,varchar,YES,,,
assumptions,"Beliefs treated as true until proven.",created_at,datetime,YES,,,
assumptions,"Beliefs treated as true until proven.",updated_at,datetime,YES,,,
assumptions,"Beliefs treated as true until proven.",created_by,INTEGER,YES,FK,,users.id
assumptions,"Beliefs treated as true until proven.",updated_by,INTEGER,YES,FK,,users.id
assumptions,"Beliefs treated as true until proven.",deleted_by,INTEGER,YES,FK,,users.id
assumptions,"Beliefs treated as true until proven.",deleted_at,datetime,YES,,,
business_need_business_objective,"M:N — Need ↔ Objective.",id,INTEGER,NO,PK,,
business_need_business_objective,"M:N — Need ↔ Objective.",business_need_id,INTEGER,NO,FK,,business_needs.id
business_need_business_objective,"M:N — Need ↔ Objective.",business_objective_id,INTEGER,NO,FK,,business_objectives.id
business_need_business_objective,"M:N — Need ↔ Objective.",is_primary,tinyint(1),NO,,'0',
business_need_business_objective,"M:N — Need ↔ Objective.",created_at,datetime,YES,,,
business_need_business_objective,"M:N — Need ↔ Objective.",updated_at,datetime,YES,,,
business_need_stakeholder_need,"M:N — Business Need ↔ Stakeholder Need.",id,INTEGER,NO,PK,,
business_need_stakeholder_need,"M:N — Business Need ↔ Stakeholder Need.",business_need_id,INTEGER,NO,FK,,business_needs.id
business_need_stakeholder_need,"M:N — Business Need ↔ Stakeholder Need.",stakeholder_need_id,INTEGER,NO,FK,,stakeholder_needs.id
business_need_stakeholder_need,"M:N — Business Need ↔ Stakeholder Need.",created_at,datetime,YES,,,
business_need_stakeholder_need,"M:N — Business Need ↔ Stakeholder Need.",updated_at,datetime,YES,,,
business_needs,"Business problems/opportunities; coded BN-n.",id,INTEGER,NO,PK,,
business_needs,"Business problems/opportunities; coded BN-n.",title,varchar,NO,,,
business_needs,"Business problems/opportunities; coded BN-n.",project_id,INTEGER,NO,FK,,projects.id
business_needs,"Business problems/opportunities; coded BN-n.",description,TEXT,YES,,,
business_needs,"Business problems/opportunities; coded BN-n.",rationale,TEXT,YES,,,
business_needs,"Business problems/opportunities; coded BN-n.",priority_id,INTEGER,YES,FK,,priorities.id
business_needs,"Business problems/opportunities; coded BN-n.",status_id,INTEGER,YES,FK,,statuses.id
business_needs,"Business problems/opportunities; coded BN-n.",created_at,datetime,YES,,,
business_needs,"Business problems/opportunities; coded BN-n.",updated_at,datetime,YES,,,
business_needs,"Business problems/opportunities; coded BN-n.",created_by,INTEGER,YES,FK,,users.id
business_needs,"Business problems/opportunities; coded BN-n.",updated_by,INTEGER,YES,FK,,users.id
business_needs,"Business problems/opportunities; coded BN-n.",deleted_by,INTEGER,YES,FK,,users.id
business_needs,"Business problems/opportunities; coded BN-n.",deleted_at,datetime,YES,,,
business_needs,"Business problems/opportunities; coded BN-n.",need_type,varchar,YES,,,
business_needs,"Business problems/opportunities; coded BN-n.",impact,TEXT,YES,,,
business_needs,"Business problems/opportunities; coded BN-n.",do_nothing_consequence,TEXT,YES,,,
business_needs,"Business problems/opportunities; coded BN-n.",number,INTEGER,YES,,,
business_objectives,"Measurable outcomes (SMART); coded BO-n.",id,INTEGER,NO,PK,,
business_objectives,"Measurable outcomes (SMART); coded BO-n.",title,varchar,NO,,,
business_objectives,"Measurable outcomes (SMART); coded BO-n.",project_id,INTEGER,NO,FK,,projects.id
business_objectives,"Measurable outcomes (SMART); coded BO-n.",description,TEXT,YES,,,
business_objectives,"Measurable outcomes (SMART); coded BO-n.",success_measure,TEXT,YES,,,
business_objectives,"Measurable outcomes (SMART); coded BO-n.",priority_id,INTEGER,YES,FK,,priorities.id
